Tijdstip;Zonnepaneelspanning (V);Zonnepaneelstroom (A);Waterstofproductie (L/u);Stroomverbruik woning (kW);Waterstofverbruik auto (L/u);Buitentemperatuur (°C);Binnentemperatuur (°C);Luchtdruk (hPa);Luchtvochtigheid (%);Accuniveau (%);CO2-concentratie binnen (ppm);Waterstofopslag woning (%);Waterstofopslag auto (%)
14-6-2025 03:30;4,1;0,111815234;0,019844007;0,779686622;0;6,249528532;21,68367249;1013,361462;66,17274265;98,88815733;495,9921934;0;97
14-6-2025 03:45;4,1;0,113713044;0,020180814;0,613905176;0;6,536638324;21,73693795;1013,39066;65,68233664;98,83121434;481,0509556;0;98,8
14-6-2025 04:00;4,1;0,049237492;0,008738247;0,752407227;0;6,876919768;21,79429191;1013,003214;65,558396;98,75778113;504,7926158;0;100
14-6-2025 04:15;4,1;0,129709928;0,023019804;0,67337696;0;7,648190848;21,63283131;1013,092562;57,87328988;98,69552317;492,8633722;0;100
14-6-2025 04:30;4,1;0,096878393;0,017193145;0,638948675;0;6,748469677;21,67820107;1012,376607;64,8324699;98,63538922;471,2604076;0;100
14-6-2025 04:45;4,1;0,093751567;0,016638223;0,66420544;0;8,367401973;21,79991136;1012,205169;61,59071516;98,57259706;449,3148659;0;100
14-6-2025 05:00;4,1;0,092624682;0,016438233;0,659495232;0;8,250489578;21,52810541;1011,984554;64,85750758;98,51023151;491,5364092;0;100
14-6-2025 05:15;4,1;0,14254981;0,025298516;0,611723843;0;9,00414996;21,56333595;1012,148842;64,2883678;98,45467288;486,6302214;0;100
14-6-2025 05:30;4,1;0,108207135;0,019203673;0,607842862;0;8,63917872;21,73935536;1011,872004;64,45116601;98,39811503;468,6530004;0;100
14-6-2025 05:45;4,1;0,113015541;0,020057027;0,537103262;0;9,816854958;21,86786521;1012,07127;61,77503769;98,34884271;472,1808517;0;100
14-6-2025 06:00;4,1;0;0;0,501990452;0;9,405475568;21,76947181;1012,026966;55,20813487;98,29852165;479,4831012;0;100
14-6-2025 06:15;4,767926337;0,151994573;0,207145757;0,501174617;0;10,26567593;21,78256585;1011,983116;60,20948139;98,25542756;450,5958925;0,00667591;100
14-6-2025 06:30;5,432869554;0,393791357;1,001385346;0,496237662;0;11,44823166;21,63198102;1011,255453;58,85812361;98,22677682;460,9535298;0,809566192;100
14-6-2025 06:45;6,091859851;0,638479579;2,370325523;0,479025681;0;10,4245302;21,58393962;1011,527562;61,66199333;98,21710671;475,663954;2,988281442;100
14-6-2025 07:00;6,741954019;0,792318418;3,855567545;0,446322454;0;11,70907217;21,79612611;1010,960972;59,73569171;98,22503333;461,9234229;6,665320005;100
14-6-2025 07:15;7,380248578;1,003805401;6,021803281;0,422021882;0;11,33671753;21,94410985;1011,213011;59,41965799;98,2557712;459,4860829;12,51831453;100
14-6-2025 07:30;8,003892752;1,206571206;8,573611291;0,313133519;0;12,17598594;21,94762546;1011,446512;56,24614152;98,31959778;430,6560019;20,96667242;100
14-6-2025 07:45;8,610101192;1,362823367;11,15009138;0,290004233;0;11,97745212;21,51656464;1011,757372;55,1778403;98,40621898;439,0132299;32,0007621;100
14-6-2025 08:00;9,196166426;1,554543429;14,33554831;0,243810434;0,713027466;12,42309626;21,89523175;1010,73061;53,62335228;98,52272884;429,8488086;45,52575877;99,28697253
14-6-2025 08:15;9,759470943;1,869686958;19,11084487;0,237109408;0,801479653;13,61614324;21,85860968;1011,189543;52,51583044;98,67886851;457,1221346;63,74028022;98,48549288
14-6-2025 08:30;10,29749889;1,93135937;21,58537447;0,20403661;0,697316206;13,5109089;21,80687677;1011,035495;51,91264192;98,85450313;442,5714828;84,54672384;97,78817667
14-6-2025 08:45;10,8078473;2,013594105;24,32820877;0,199515078;0,802802928;13,67171685;21,35209191;1011,345999;54,28450832;99,04907216;434,5614473;100;96,98537375
14-6-2025 09:00;11,28823684;2,177028591;28,15885598;0,199515078;0;13,53494441;21,25157898;1011,258754;55,2435915;99,2713681;429,4051048;100;96,98537375
14-6-2025 09:15;11,73652197;2,29062168;31,450498;0,199515078;0;14,68128605;21,76774874;1010,991868;51,84831877;99,51643083;441,2094551;100;96,98537375
14-6-2025 09:30;12,15070053;2,386674027;34,52362897;0,199515078;0;14,72127239;21,16121294;1011,183345;51,85225242;99,78235464;426,2808292;100;96,98537375
14-6-2025 09:45;12,52892271;2,665796632;40,35056227;0,199515078;0;14,85333634;21,23697941;1010,978145;52,8011214;100;447,921536;100;96,98537375
14-6-2025 10:00;12,86949928;2,596225244;40,86672808;0,199515078;0;14,65400691;21,73577313;1011,12483;51,28969518;100;441,0532256;100;96,98537375
14-6-2025 10:15;13,17090914;2,712218492;44,14336746;0,199515078;0;14,52992082;21,46869186;1011,0722;51,24960172;100;432,3509792;100;96,98537375
14-6-2025 10:30;13,43180611;2,897752242;48,50477694;0,199515078;0;15,29079633;21,46275865;1011,1306;52,30086182;100;421,2569591;100;96,98537375
14-6-2025 10:45;13,65102497;2,943373798;50,41354711;0,199515078;0;15,22445062;21,67515925;1011,610674;48,32161759;100;436,0699688;100;96,98537375
14-6-2025 11:00;13,82758664;3,02958384;52,83944576;0,199515078;0;14,61166025;21,12262267;1011,34049;47,81971845;100;421,6720447;100;96,98537375
14-6-2025 11:15;13,96070254;3,037702582;53,69868096;0,199515078;0;16,2607659;21,40680995;1012,282318;50,09694512;100;442,485628;100;96,98537375
14-6-2025 11:30;14,04977815;3,064926762;54,66444874;0,199515078;0;15,79446688;21,08080246;1011,932819;51,95940857;100;433,6114957;100;96,98537375
14-6-2025 11:45;14,09441564;3,063435706;54,88053667;0,199515078;0;14,98379423;21,48443801;1011,771157;49,24732247;100;442,506246;100;96,98537375
14-6-2025 12:00;14,09441564;3,077282734;55,12860205;0,199515078;0;16,37257625;20,50052997;1012,259816;48,89379934;100;434,9172799;100;96,98537375
14-6-2025 12:15;14,04977815;3,112927234;55,52056034;0,199515078;0;15,58263761;21,04235546;1012,556923;48,79349609;100;436,6871927;100;96,98537375
14-6-2025 12:30;13,96070254;3,084427306;54,52465256;0,199515078;0;15,06684776;20,57954101;1012,024097;49,39187756;100;441,4135216;100;96,98537375
14-6-2025 12:45;13,82758664;2,979688151;51,96920723;0,199515078;0;15,33331625;20,95182928;1012,337123;51,95652923;100;429,6967474;100;96,98537375
14-6-2025 13:00;13,65102497;2,875730518;49,25496588;0,199515078;0;15,54739791;20,42017381;1012,535772;50,28954655;100;427,3914136;100;96,98537375
14-6-2025 13:15;13,43180611;2,816727422;47,148522;0,199515078;0;15,55407047;20,64956876;1012,923396;49,57493759;100;429,7891142;100;96,98537375
14-6-2025 13:30;13,17090914;2,817452978;45,85613676;0,199515078;0;14,71744924;20,6027509;1012,716552;51,33607678;100;446,0992124;100;96,98537375
14-6-2025 13:45;12,86949928;2,652675929;41,75530846;0,199515078;0;15,36158724;20,29428022;1012,319535;53,69157079;100;432,9358011;100;96,98537375
14-6-2025 14:00;12,52892271;2,646921243;40,06485684;0,199515078;0;14,6372132;20,20514073;1012,621258;50,30548612;100;413,7122657;100;96,98537375
14-6-2025 14:15;12,15070053;2,473128993;35,77421416;0,199515078;0;14,29823138;20,40376597;1012,713514;51,72235628;100;430,3935985;100;96,98537375
14-6-2025 14:30;11,73652197;2,335691786;32,06931572;0,199515078;0;14,2523203;20,40871102;1012,903523;53,09468755;100;424,8156717;100;96,98537375
14-6-2025 14:45;11,28823684;2,102078268;27,18940829;0,199515078;0;13,9385987;20,39072509;1013,204324;54,22846503;100;429,317757;100;96,98537375
14-6-2025 15:00;10,8078473;2,002397835;24,19293563;0,199515078;0;14,16076711;20,06531868;1013,280947;55,88375651;100;423,7867412;100;96,98537375
14-6-2025 15:15;10,29749889;1,914892171;21,40133277;0,199515078;0;14,07197354;20,33772979;1013,079479;53,26732185;100;434,4304453;100;96,98537375
14-6-2025 15:30;9,759470943;1,666063873;17,02952897;0,199515078;0;13,51072799;20,69775373;1012,764184;53,15666718;100;429,4270013;100;96,98537375
14-6-2025 15:45;9,196166426;1,565647034;14,43794253;0,199515078;0;13,15254239;20,21176768;1012,727869;55,77003155;100;433,75737;100;96,98537375
14-6-2025 16:00;8,610101192;1,333158904;10,90738826;0,199515078;0;12,62092742;20,08377325;1012,672698;57,06622801;100;443,650081;100;96,98537375
14-6-2025 16:15;8,003892752;1,214476563;8,629784904;0,199515078;0;11,89149289;20,4902135;1013,028966;56,95398829;100;442,5004893;100;96,98537375
14-6-2025 16:30;7,380248578;1,045324967;6,270878109;0,199515078;0;12,00752772;20,29670075;1012,473189;52,14823865;100;435,5937306;100;96,98537375
14-6-2025 16:45;6,741954019;0,711271922;3,461180348;0,199515078;0;12,32154553;19,97249078;1012,351329;60,79675119;100;438,4305526;100;96,98537375
14-6-2025 17:00;6,091859851;0,540602909;2,006962973;0,199515078;0,77768772;11,30634175;20,05124776;1012,4326;58,58108821;100;454,7653155;100;96,20768603
14-6-2025 17:15;5,432869554;0,479224534;1,218636258;0,199515078;0,819118852;11,09417559;20,43949378;1012,876366;56,29813934;100;432,9814637;100;95,38856718
14-6-2025 17:30;4,767926337;0,115470762;0,157369292;0,199515078;0,83495228;10,5660842;19,81482033;1012,05016;59,27433993;99,98542822;440,1966816;99,24261098;94,5536149
14-6-2025 17:45;4,1;0;0;0,199515078;0,823070204;9,937167294;20,27937369;1012,746047;58,8746278;99,96542822;426,8776114;98,33973475;93,73054469
14-6-2025 18:00;4,1;0,10067647;0,017867195;0,199515078;0;10,3368982;20,10029591;1012,278539;63,29678106;99,94949797;436,1842043;98,27779591;93,73054469
14-6-2025 18:15;4,1;0,117289465;0,020815527;0,199515078;0;10,19237881;20,32545968;1011,93353;59,45512279;99,93423928;431,7315329;98,21880541;93,73054469
14-6-2025 18:30;4,1;0,085767058;0,015221201;0,199515078;0;7,785448543;20,34930872;1011,515234;59,39007578;99,91770634;433,11679;98,15422058;93,73054469
14-6-2025 18:45;4,1;0,105017114;0,018637535;0,199515078;0;8,547689989;20,3044711;1012,043721;64,29846762;99,90195155;472,1808517;0;100 
